model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet4Drop_0.2,0,2019-05-13 19:32,6,0.00078125,cross_entropy,adam,1,0.6734,0.5704,13055,9574,0.5769,0.533,0.5541,11440,14921,0.566,0.6091,0.5868
MLPNet4Drop_0.2,0,2019-05-13 19:37,6,0.00078125,cross_entropy,adam,2,0.6086,0.6662,16037,7894,0.6701,0.6547,0.6623,8458,16601,0.6625,0.6777,0.67
MLPNet4Drop_0.2,0,2019-05-13 19:41,6,0.000390625,cross_entropy,adam,3,0.5764,0.6943,16447,6920,0.7039,0.6714,0.6873,8048,17575,0.6859,0.7175,0.7013
